Part Name, Source, Price
HappyModel EP1 EP2 RX 2.4G ExpressLRS,https://www.aliexpress.com/item/1005008247370304.html?spm=a2g0o.productlist.main.5.2850mRi2mRi2xl&algo_pvid=77d1b60e-e168-48e7-80a3-6c54cae28bb3&pdp_ext_f=%7B%22order%22%3A%22107%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A , $21.35
QAV-S 2 5",https://www.aliexpress.com/item/1005008346893804.html?spm=a2g0o.productlist.main.3.16202cc9wKrdvI&algo_pvid=50663d76-794b-4e33-81c5-a5dd59679791&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A , $145.69
iFlight XING-E Pro 2207 1800KV,https://www.aliexpress.com/item/1005007751252503.html?spm=a2g0o.productlist.main.1.d466ZOSuZOSuWm&aem_p4p_detail=20250531160611374470531987040001727788&algo_pvid=04c0211c-e4d8-4ce4-8d52-977499250472&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=20250531160611374470531987040001727788_1 , $85.66
Gemfan Hurricane 51477 3-Blade,https://www.aliexpress.com/item/1005008235140623.html?spm=a2g0o.productlist.main.2.269e61fc15r2hv&algo_pvid=380ae974-0397-40cf-ba51-2d0dfeff5773&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A , $4.29
XILO Stax V2 Combo,https://www.aliexpress.com/item/1005006310887821.html?spm=a2g0o.productlist.main.1.43d76f37ZQsNqS&algo_pvid=a4f28a44-7312-42fc-be7e-6406e9dac2d3&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification , $158.69
Caddx Ratel 2 V2,https://www.aliexpress.com/item/1005006156850612.html?spm=a2g0o.productlist.main.1.73702440cHnk8a&algo_pvid=e5e711c7-939c-4caa-8147-c2a4404c7854&pdp_ext_f=%7B%22order%22%3A%22228%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A , $30.67
XILO STAX 5.8GHz FPV Video Transmitter (25-600mW) w/ Smart Audio,https://www.getfpv.com/xilo-stax-5-8ghz-fpv-video-transmitter-25-600mw.html , $38.99
Lipo Charger,https://uk.banggood.com/IMAX-B6-80W-6A-Lipo-Battery-Balance-Charger-T-Plug-with-Power-Supply-Adapter-p-1401686.html?akmClientCountry=AU&rmmds=myorder&cur_warehouse=CN&ID=47184&p=SG302132766513202105&custlixnkid=1806859 , $47.91
Heat Shrink,https://www.aliexpress.com/item/1005005088669576.html?spm=a2g0o.productlist.main.9.7cc2QUZeQUZeSC&algo_pvid=2b364c85-95f7-45a1-9ef0-4dcc0f4bfd78&pdp_ext_f=%7B%22order%22%3A%22184%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A , $11.51
GRAND TOTAL (AUD) , , $459.10
GRAND TOTAL (USD) , , $298.08